,Title,Contents
0,<p>파이썬 코테준비 및 취업준비</p>,"<p>[개발 스터디 모집 내용 예시]스터디 주제 : it직무 취업준비스터디 목표 : 올해 상반기 취업예상 스터디 일정(횟수) : 주1회 오프라인 강남 또는 노량진예상 커리큘럼 간략히 : 코테준비, cs 필기예상 모집인원 : 최대 6명스터디 관련 주의사항 : 코테 사용언어 파이썬스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)    재직경험 있으신분, 중고신입 환영입니다오카로 카톡아이디 남겨주세요!카카오톡 오픈채팅을 시작해 보세요.링크를 선택하면 카카오톡이 실행됩니다.It 취준 스터디https://open.kakao.com/o/s60WUm9f</p>"
1,<p>기상 공부 인증 스터디(백엔드 취준 공유)</p>,"<p>인증 : 오전에 일찍 모여서 하고 싶은 공부를 하고 반드시 내용 설명해주셔야 합니다.시간 : 07:30-12:30 까지 각자 공부 후, 내용 5분씩 공유합니다.인원 : 4명 소수 한정요일 : 일주일 중 토요일은 제외하고 6일 진행하며 6일 중 하루만 선택하여 쉴 수 있습니다.대상 : 백엔드(스프링 기반)로 취업 준비중이신분들만 구합니다(경력, 신입 모두 가능)화면 : 디스코드로 진행하고 캠은 키보드를 반드시 보여주고 있어야 합니다.보증금 : 3월부터 벌금제도 예정입니다취업 관련 내용 공유 : 월요일에는 탐색 및 지원한 공고 링크와 함께 공유해주셔야 합니다. (동기부여 차원)연락처 : 오픈채팅방으로 간단한 소개 해주세요. 성함, 경력 여부등바램 : 서로 좋은 영향을 주고받았으면 좋겠습니다. 혼자서 하면 의지력도 떨어지기 마련이라 아침에 일찍 일어나는 습관을 가지고 시간을 아꼈으면 좋겠습니다. 같이 취업까지 열심히 가실분들 연락주세요!https://open.kakao.com/o/sjH4IpQc</p>"
2,<p>자바스크립트 알고리즘 스터디 1기</p>,"<p>⏺ 스터디 목표- 10주간 자바스크립트를 이용한 유형별 알고리즘 문제 풀이- 모든 스터디원들이 꾸준히 참여함으로써 실력 향상과 동기 부여⏺ 스터디 일정(2월 12일 OT를 시작으로 매주 목요일 저녁에 진행합니다.)- OT : 2월 19일 월요일 저녁 8시- 일정: 매주 목요일 오후 8시 (온라인)- 1기는 10주차까지 진행합니다.- 2기는 1기가 끝나고 난 후, 11주차부터 진행할 예정입니다. (2기 희망자는 구글폼에 답변 적어주세요.)⏺ 활동 내용모든 활동들은 스스로 학습하여 Github Organization에 올립니다.1. 2주 단위 유형별 알고리즘 학습:1주차: 해당 유형에 대한 이론 정리(필요시) 및 기본 문제 (브론즈~실버4, 5) 풀이2주차: 해당 유형 알고리즘 응용 문제 (실버, 골드) 풀이2. 코드 리뷰와 토론:스터디 당일 랜덤으로 한 문제씩 대표하여, 문제 풀이 발표 및 다양한 접근 방식에 대해 토론합니다.⏺ 참여 조건- 백준 실버 4~5 혹은 프로그래머스 lv1~2 이상 푸시는 분- 꾸준히, 각 주차별 문제 풀이를 완수하실 분- 불가피한 사정으로 불참, 지각 혹은 풀이 미완수시, 최소 24시간 전 공유(공유 없이 누적 3회 이상 시 퇴출 조치)⏺ 모집 인원- 3명 ⏺ 지원 방법- 구글폼으로 지원서 제출 https://forms.gle/1PfrFgdY8rrTM6gD6- 마감일: 2월 18일 일요일 오후 1시까지 (합격자에 한하여, 2월 18일 일요일 저녁 단톡 초대 예정)⏺ 예상 커리큘럼1주차: 문자열 탐색 이론 + 기본2주차 : 문자열 응용3주차: 자료구조 (스택, 큐) 이론 + 기본4주차: 자료구조 (스택, 큐) 응용5주차: 자료구조 2 (덱, 트리) 이론 + 기본6주차: 자료구조 2 (덱, 트리) 응용7주차: 투포인터,  정렬 이론 + 기본8주차: 투포인터,  정렬 응용9주차: 그리디, 이분 탐색, 재귀 이론 + 기본10주차: 그리디, 이분 탐색, 재귀 응용11주차: DFS, BFS 이론 + 기본12주차: DFS, BFS 응용13주차: 완탐 (브루트포스) 이론 + 기본14주차: 완탐 (브루트포스) 응용15주차: 백트래킹, 시뮬레이션 이론 + 기본16주차: 백트래킹, 시뮬레이션 응용17주차:최단 경로 이론 + 기본18주차:최단 경로 응용19주차: DP 이론 + 기본20주차: DP 응용(지원 인원 부족으로 기간 늘려 재업로드 합니다!)</p>"
3,<p>무료로 웹 프론트엔드 이력서 피드백 드립니다!</p>,"<p>무료로 웹 프론트엔드 이력서 피드백 드립니다. KDT 웹 개발과정 주강사로 일하다가 현재는 쉬는 중입니다.개인적으로 오지랖이 넓어 고생 하시는 분들을 돕는 것이 취미이다보니 취미 생활을 위해 이렇게 올려 봅니다 😆 단, 피드백은 이대 || 신촌 근방에서 오프라인으로만 진행할 예정입니다! 온라인 피드백의 경우 말로하면 쉽게 끝날 내용을 텍스트로 피드백 내용을 작성하는데 너무 많은 시간과 노력이 드는 관계로 진행하지 않도록 하겠습니다. 무료로 피드백 드리는 만큼 양해 부탁드립니다. [대상]웹 프론트엔드 취업을 목표 중이신 분들 [요구 사항]기본적인 내용이 완성 된 이력서취업하고자 하시는 기업 리스트이대 || 신촌 근처 카페에서의 오프라인 피드백 &amp; 본인의 커피 값약속 시간 준수, 기본적인 예의 🙂  보통 이대 || 신촌 근처의 까페에서 혼자 공부하고 있기 때문에 연락을 주시면 약속을 정해서 피드백 드리도록 하겠습니다. 연락은 아래의 오픈 카톡을 통해 부탁드립니다! (+ 새벽 시간의 카톡은 자제 부탁 드립니다) https://open.kakao.com/o/s16veB9f 감사합니다!</p>"
4,"<p>자바, 스프링 처음부터 복습 해봐요</p>","<p>백엔드를 공부하며 누군가에게 물어보거나 빠진 부분을 확인하거나 고민을 나눌 백엔드 개발자 분들과 함께 공부하고 싶어 모집하게 되었습니다[스터디 목표] '김영한의 스프링 로드맵' 한 주에 1개의 강의 '자바의 정석' 한 주에 한 챕터각 챕터별 항목으로 진행하며 복습 및 핵심을 공유하고 강화하기 [모집안내]📌 모집 인원 : 4명 (저 포함 5명)📌 스터디 언어 : JAVA, SPRING, SPRING BOOT 📌 스터디 일정 : 24.02월 모집 완료 후 ~ 3개월간 (매주 주말 일요일 오후 시간대 1시간 ~ 1시간 30분 오프라인 미팅 - 구글 미트) [예상 커리큘럼]강의를 바탕으로 평일에는 서로 모르는 부분을 공유하며 공부하고주말에는 정해진 혹은 자신이 진행한 강의를 3분 요약하여 핵심만 발표할 예정입니다(자바, 스프링 택 1 가능)추가로 매주 기본 자바로 작은 프로젝트 혹은 문제를 코드로 해결하고 서로 코드를 공유하며 이야기 나누기!1주차) 총 7명의 사람 중 1명을 뽑고 그 외에 2명을 뽑고 다시 그 외 2명을 뽑을 수 있어야 합니다2주차) 위 코드에서 시작 전 휴가자를 1명 선택할 수 있어야 합니다 ...등누구나 아이디어를 이야기하고 정할 수 있어요정리자바, 스프링 강의 1 챕터를 한 주에 듣고 핵심만 정리하여 각 3분 이내에 발표 (같은 강의를 들었으니 핵심만 빠르게!) =&gt; 모르는건 발표 후 공유하고 설명!평일에는 서로 공부하고 코드를 작성하며 모르는걸 이야기하고 같이 해결하기매주 작은 실습 프로젝트를 통해 코드 감각 유지하기 (깃허브 이용은 덤!) [스터디 관련 주의사항]다른 분들도 시간을 만들어 참여하니 분위기를 위해 2회 이상 불참시 함께 할 수 없습니다.적극적으로 궁금한걸 서로 공유하고 고민하고 나눌 수 있는 분들을 찾고 있습니다! 못해도 괜찮고 많이 물어보는게 더 좋습니다비전공자 전공자 상관없이 위 영상들을 듣고 공부할 수 있으면 됩니다![신청]24시간 안에 연락드려요!https://forms.gle/rpJNc3GYXGymwjYt7</p>"
5,<p>[앱/웹 개발] 수익성 프로젝트팀 모집</p>,<p>안녕하세요.회사를 다니며 미래를 위해 꾸준히 노력하고 있는 한 개발자입니다.이번에 정식으로 앱을 하나 출시하고 어느정도 사이클을 파악했다 생각되어본격적으로 준비를 하기 위해 프로젝트팀을 모집하려 합니다. 출시 앱 링크https://play.google.com/store/apps/details?id=com.life.muna&amp;pcampaignid=web_share  [프로젝트 모집 내용]목적 멀티플랫폼(앱/웹) 개발 3~4개월 단위로 연간 3개 이상 앱/웹 개발   모집요강백엔드개발자 1명웹개발자 1명앱개발자 1명 ( 플러터 or 리엑트 ) 프로젝트 참고사항매번 개발할 아이템의 결정은 회의로 결정합니다.동의하시는 분들에 한에 해당 팀으로 외주를 진행할 예정입니다. (부업)스터디가 아니며 앱 출시 및 외주를 통한 수익창출이 목표입니다.단기가 아닌 장기적으로 꾸준히 하실분들을 모집합니다. 지원방법이름 / 연락처 / 지원파트 / 지원사유 를 작성하여 dev_psg@kakao.com 으로 메일보내주세요.감사합니다.</p>
6,<p>IT 기술 블로그 스터디(백엔드)</p>,"<p>안녕하세요.Java / Spring 기반으로 백엔드 취준 중인 취준생입니다.이력서에 퀄리티 있는 기술 블로그를 추가하기 위해 스터디를 모집합니다. 목표이력서에 기술 블로그를 자신있게 첨부하기 위해 글을 작성하기 위한 스터디입니다.너무 간단한 TIL이나 저작권 문제까지 있을 수도 있는, 단순한 인강 / 책 요약정리가 아닌 깊이 있는 학습, 트러블슈팅이나 복잡한 비즈니스 로직을 작성한 경험 등을 블로깅하는 것을 목표로 합니다. 조건Java / Spring 기반의 기술 스택을 가지고 계신 분스터디 진행 방식 및 규칙에 동의하시는 분스터디에 성실하게 참여하실 수 있으신 분 일정모집 기간 : ~ 2월 22일(목)첫 번째 스터디 일자 : 2월 24일(토) 디스코드로 자기소개 및 스터디 진행 시간 등을 구체적으로 정할 예정입니다.구글 폼에 작성해주신 이메일로 디스코드 &amp; 카톡 오픈채팅 초대 링크를 공유드릴 예정입니다. 진행 방식매주 금요일 23:59까지 2개의 글을 작성하고, 디스코드에 링크를 올려 인증합니다.매주 토요일 모든 인원이 작성한 글을 디스코드에서 화면 공유로 발표합니다.발표 이후 Q &amp; A 및 피드백을 진행합니다.피드백에서 발표자를 제외한 나머지 인원은 이 글이 퀄리티 있는 글인지 판단합니다. 과반수 이상이 퀄리티가 아쉽다고 한 경우 해당 주차에 작성한 글로 인정받지 못하며 다음 주차에 추가적으로 글을 작성해주셔야 합니다.예시) 작성한 글 2개 중 1개의 글이 인정받지 못한 경우 -&gt; 다음 주 글 3개 작성 필요 규칙경조사 / 코딩테스트 및 면접/ 건강 악화 등 개인 사유로 토요일 모임에 참여가 힘들 때 양해를 구하고 참여하지 않을 수 있습니다.경조사 / 코딩테스트 및 면접/ 건강 악화 등 개인 사유로 글 작성이 힘들 때 양해를 구하고 생략할 수 있습니다. 단, 작성해야 할 글은 다음 주차로 이월됩니다.이월된 글이 5개 이상인 경우 스터디에서 강퇴됩니다.제한시간을 넘겨서 인증 글을 작성하거나 매주 토요일 모임에 5분 이상 지각하는 경우 경고가 1회 부여됩니다.제한시간을 넘겨도 인증 글을 작성하지 않거나 토요일 모임에 불참하는 경고가 2회 부여됩니다.경고가 3회 누적되면 스터디에서 강퇴됩니다. 지양해야 할 글인강 / 책을 단순히 요약한 글다른 블로그의 글을 복붙한 글너무 간단한 TILJava / Spring 기반 웹 백엔드와 관계 없는 주제(파이썬, nodejs 등)추가적인 블로깅 방식에 대해서는 https://f-lab.kr/blog/developer-blog-tips 글을 참고해주시면 좋을 것 같습니다. 신청 방법구글 폼 링크 : https://forms.gle/2uK7Bx6aLo42fWrW8카톡 오픈채팅 문의 : https://open.kakao.com/o/s03m7y9f</p>"
7,<p>(강남역 24/02/17) AWS 플랫포머 스터디 모집합니다.</p>,"<p>안녕하세요!전번에 했던 &lt;자바 챌린지 스터디&gt;, &lt;배포 챌린지 스터디&gt;, &lt;리액트 스터디&gt;, &lt;도커 스터디&gt;를 잘 마무리하고이번에 새로 업그레이드해서 AWS 집중 첫 스터디를 시작! 다음 AWS 스터디 모임을 모집하고자 합니다! ﻿AWS는 Amazon Web Services의 약자로, 클라우드 컴퓨팅 서비스를 제공하는 세계 최대의 플랫폼입니다. AWS는 다양한 서비스를 제공하며, 이를 조합하여 원하는 기능을 구현할 수 있습니다.  ﻿예를 들어, EC2는 가상 서버를 제공하고, S3는 파일 저장소를 제공하고, Lambda는 서버리스 함수를 제공합니다. 이러한 서비스들을 활용하여 백앤드 개발에도 적용할 내용들이 정말 많습니다.​﻿하지만 AWS는 너무 많은 서비스와 옵션을 가지고 있어서, 초보자나 중급자에게는 어렵고 복잡하게 느껴질 수 있습니다. ﻿또한, ﻿AWS의 공식 문서나 튜토리얼은 너무 기초적이거나 너무 전문적이어서, 적절한 수준의 학습 자료를 찾기 힘들 수 있습니다. 그래서 AWS를 잘 활용할 수 있는 백앤드 개발자에 적합한 스터디를 만들어 보았습니다. ✅이번 AWS ﻿스터디의 목적은 다음과 같습니다.﻿- AWS의 주요 서비스들을 이해하고 사용할 수 있다.- AWS의 베스트 프랙티스와 보안 가이드라인을 준수한다.- AWS의 서비스들을 조합하여 백앤드 개발에 실제 적용해본다.​✅✅ 그리고 구체적인 스터디 내용은 다음으로 예측합니다1차: Linux(Ubuntu) 기본 익히기, IAM, EC2 서비스 시작 -&gt; EBS, Security Group, 탄력적 IP 설정, VPC 이해2차: EC2 서버에 SpringBoot jar 배포하기 + MySQL RDS 연동하기, 추가: S3 적용3차(미정): EC2 인스턴스를 기본으로 VPC 설정, ELB, Auto scaling, Route53 구축하기​﻿✨자바 백앤드 개발에 관심이 있고, AWS를 배우고 싶은 분이면 누구나 참여가능합니다!! 과거 스터디를 하면서 스터디원들의 평가와 후기 👀그리고어떤방식 등으로 진행했는지는 카페를 개설해 이력을 남기고 있으니 거기서 한번 확인해보셔도 좋을 것 같습니다.https://cafe.naver.com/platformerwebdev제 스터디들의 큰 줄기는 ""이론 -&gt; 실습"" 입니다. ✨ 미션1,2차 스터디 모두 진행한 분에게 해당!스터디가 끝나고 한번의 실습 미션 80% 완성시, 일부 스터디비용 환급!​✅ 사전설치 Tool 및 준비사항개인노트북, AWS 계정, jdk17, IntelliJ, SpringBoot REST API 구축, MySQL8.X, MobaXterm​​기간: 설날 끝나고! 02/17시간: 토요일, 1차 : 2시~4시(2시간), 2차 : 5:00 ~ 8:00(3시간)장소: 강남역 스터디룸모집인원 : 오프라인 최대 6명 모집비용: 스터디 참여비용은 유료, (Notion 페이지 참조✅)관련 디테일한 내용은 Notion 페이지를 참고해주세요!https://www.notion.so/AWS-b8be1a1dcd0242a49cab935f72f3685f?pvs=4 ​온라인(게더타운) or 오프라인 모두 스터디 참가 가능합니다!참여하고 싶은 분들은 간단한 자기소개와 함께 오픈카톡방에 문의 주시기 바랍니다 :) 감사합니다!https://open.kakao.com/o/sL34kz8f</p>"
8,<p>FE 기본기 스터디</p>,"<p>스터디 목표프론트엔드 개발자 면접전에 빠르게 프론트엔드 개발의 기본기를 정리합니다.FE 개발자들간의 네트워킹과 개발 공부 강제성을 부여하는 목적으로 진행하는 스터디입니다! 예상 모집 인원4명 스터디 방식기본적으로 온라인으로 진행되고 공부를 진행하다 모르는 내용은 디스코드에 Q&amp;A 가능https://poiemaweb.com/ 에 있는 HTML5, CSS3, JavaScript, ECMAScript6 섹션을 매일 각자 학습하고 정리한 내용을 공유합니다. (블로그, 노션, md 상관없음)매주 화요일 저녁 8시에 모여서 각자 중요한 포인트라고 생각되는 내용을 토론합니다. 왜 중요 포인트라고 생각했는지? 상세 스터디 일정기본적으로 노트 정리는 평일, 주말에 매일 진행합니다! (만약에 특정 날짜에 진행 못할시 사유 말씀해주시고 다음날 또는 정해진 기간까지 정리 해주시면 됩니다.)화요일 저녁 8시에 주간 토론을 진행합니다. (주간 회의는 불참하지 않으시면 좋겠지만.. 만약 불가피하게 못하게 되신다면 스터디원분들과 일정을 조율해보겠습니다.)HTML5 + CSS3(10+22 챕터) : 시작날짜 ~ 2/19 (7일) -&gt; (2/20 1번째 주간 회의)JavaScript(36 챕터) : 2/20 ~ 2/26 (7일) -&gt; (2/27 2번째 주간 회의)ECMAScript6: 2/27(14 챕터) ~ 3/4 (7일) -&gt; (3/5 3번째 주간 회의) (🚨 약간의 일정 변경은 생길 수 있습니다.) 이런분이 오시면 좋을것 같아요FE 개발을 어느정도 해보셨던 분 (빠르게 진행될 예정이라서..)디스코드 연락 잘되시는 분 (잠수는 no!)매일매일 같이 공부하실분 (추후에 다른 스터디도 진행해봅시다!) 끝으로이번 스터디가 잘 운영된다면 다른 학습(TypeScript, 프론트엔드 성능 최적화, CS 지식, 프론트엔드 면접 등)에 관한 스터디도 추후로 진행하고 싶습니다. 끝까지 읽어주셔서 감사합니다!오픈카톡 : https://open.kakao.com/o/sqyQrt9f</p>"
9,"<p>시흥시 코딩 동아리 ""뱃고동"" 부원 모집합니다</p>","<p>﻿안녕하세요! 배곧, 정왕 코딩 동아리입니다! 모각코 및 개발 지식도 나누며 같이 스터디 하고 싶으신 분!개발은 잘 모르지만 같이 하면서 배우고 싶으신 분!국비 다니시면서 모르는 거 공유 하실 분!웹 디자이너, PM , PO 공부 중인데 같이 공부 하고 싶으신 분!컴퓨터 공학 배우시는 학생이신분!배곧에서 공부도 하고 친구도 구하시는 분! 혼자하지 말고 같이해요!밥도 먹고 공부도 하며 친해져요!온, 오프라인으로 장소에 제약 없이 공부 하실 분! https://open.kakao.com/o/gx4jur9f (링크 수정하였습니다)</p>"
